idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,AES128-SHA256,AES128-GCM-SHA256,AES256-GCM-SHA384,ECDHE-RSA-AES128-SHA256,ECDHE-RSA-AES128-GCM-SHA256,ECDHE-RSA-AES256-GCM-SHA384,ECDHE-RSA-CHACHA20-POLY1305
149,0.00287122,0.00372261,0.00279996,0.00243552,0.00392515,0.0039042,0.0034121,0.00311974,0.00277278,0.00286283
150,0.00293794,0.00323288,0.003109,0.00243726,0.00241654,0.00426065,0.0062356,0.00376506,0.00491724,0.00455071
151,0.00298082,0.00284635,0.00269548,0.00216016,0.00199597,0.0015503,0.00147959,0.00136874,0.0013941,0.00136456
152,0.00139023,0.00176426,0.00146166,0.00130204,0.00140015,0.00135705,0.00158824,0.00151653,0.00159335,0.00153027
153,0.00153852,0.00152825,0.00142644,0.00141808,0.00120803,0.00124449,0.0013798,0.00133436,0.00308308,0.00348055
154,0.0022193,0.00176654,0.00319206,0.00168799,0.00115838,0.00120829,0.00136537,0.00138255,0.0013735,0.00138333
155,0.00139014,0.00151935,0.00143297,0.00141957,0.0011439,0.00116982,0.00136054,0.00133618,0.00138526,0.00135603
156,0.00136492,0.00150843,0.00334904,0.00125757,0.00125307,0.00122007,0.00137021,0.00145748,0.00136338,0.00135616
157,0.00142111,0.0017347,0.00171799,0.00133906,0.00146217,0.00150193,0.00149509,0.00140121,0.00150764,0.00145731
158,0.0015688,0.00352132,0.00342777,0.0030331,0.00244311,0.00314184,0.00198854,0.00158429,0.00141219,0.00132741
159,0.00141507,0.00145113,0.00157548,0.0029402,0.00158121,0.00125895,0.00167174,0.00146057,0.00148762,0.0014034
160,0.00145198,0.00153758,0.00153933,0.00149008,0.00273019,0.00259309,0.00320298,0.00273314,0.00199995,0.00442397
161,0.00465512,0.00252715,0.00212626,0.00151447,0.00296635,0.00224004,0.00250408,0.00231935,0.00264661,0.00257343
162,0.00251933,0.00446186,0.00235769,0.00158589,0.00127313,0.00301574,0.00196628,0.0016285,0.00162643,0.00152454
163,0.00154269,0.00152332,0.00136926,0.00289594,0.00135656,0.00124858,0.00162842,0.00154587,0.00143283,0.00150751
164,0.00146117,0.00155826,0.00160985,0.00135201,0.00127997,0.00119185,0.0016552,0.0014352,0.00155631,0.00140212
165,0.00138962,0.00157737,0.00145393,0.00126839,0.00124476,0.00129101,0.00156232,0.00139846,0.00162092,0.00142223
166,0.00153603,0.00150373,0.00143311,0.00141153,0.00130941,0.00121148,0.00154783,0.00226025,0.00194968,0.00144321
167,0.00220117,0.00356866,0.00160897,0.00123917,0.00131273,0.00121301,0.00138834,0.00135981,0.00137786,0.00137639
168,0.00142104,0.00143854,0.00154024,0.00120523,0.00122134,0.0012556,0.0013835,0.00372554,0.0035609,0.00389825
169,0.00368471,0.00422977,0.0049134,0.0054894,0.00324145,0.00440225,0.00376939,0.00680171,0.00495704,0.00350498
170,0.00541933,0.00492046,0.00502325,0.00423228,0.00419081,0.00377876,0.00445749,0.00512841,0.00350537,0.00514598
171,0.00502483,0.00470232,0.00544545,0.00415553,0.00418651,0.00469719,0.00493325,0.00318928,0.00303779,0.00519336
172,0.0046246,0.00437068,0.00362955,0.0026269,0.00280966,0.00282318,0.00313656,0.00184163,0.00170055,0.00165325
173,0.00176399,0.00203829,0.00257247,0.00385624,0.00407261,0.00236906,0.00290513,0.00267733,0.00324983,0.0030635
174,0.00560547,0.00463026,0.0030067,0.00527741,0.00373732,0.00423748,0.00438034,0.00428691,0.00491598,0.00351632
175,0.00556567,0.00414581,0.00738631,0.00375918,0.00509899,0.00287437,0.00239164,0.0020768,0.00230742,0.00425437
176,0.00204876,0.00363817,0.0015532,0.00145976,0.00274466,0.00143567,0.00323732,0.00167923,0.00148804,0.00142365
177,0.00141211,0.00143753,0.00147301,0.00118759,0.00326823,0.00172601,0.00159233,0.00174729,0.00156767,0.00152941
178,0.00143968,0.00142159,0.00155296,0.00231989,0.0017075,0.00172587,0.00246135,0.00257455,0.00267368,0.00264416
179,0.00245507,0.00261623,0.00271205,0.00249127,0.00255403,0.00259611,0.00269406,0.0022314,0.00207665,0.00196113
180,0.0021665,0.00224339,0.00186319,0.00154544,0.00122194,0.00131309,0.00154247,0.00154422,0.0016319,0.00145957
181,0.00155626,0.00141727,0.00331289,0.00140006,0.00151624,0.00295479,0.00442203,0.00418725,0.00282947,0.00302642
182,0.00281715,0.00279957,0.00268734,0.00225642,0.00170053,0.00193239,0.00191433,0.00157742,0.00146658,0.00190261
183,0.00180273,0.00183693,0.00175547,0.00147382,0.00150217,0.00153687,0.00203868,0.00140313,0.00188882,0.00136518
184,0.00139793,0.00143965,0.00143009,0.00165964,0.00160171,0.00141595,0.00167602,0.00144662,0.00141253,0.00135574
185,0.00140206,0.00144006,0.00165024,0.00125926,0.00120338,0.00120465,0.00137141,0.00137266,0.00138318,0.00134094
186,0.00141358,0.00143958,0.00142091,0.00119521,0.00115994,0.00120801,0.00135924,0.00135369,0.00137186,0.00136008
187,0.00140618,0.00142942,0.00141798,0.00116455,0.00119067,0.00117452,0.00136681,0.00133908,0.00137997,0.00135116
188,0.00137178,0.00141967,0.00142449,0.00119197,0.00117252,0.00118809,0.00139245,0.00134525,0.00140539,0.00136108
189,0.00138548,0.00144098,0.00143743,0.00119618,0.00115829,0.00120045,0.00136151,0.00135517,0.00136685,0.00137739
190,0.00142769,0.001607,0.00147528,0.00119313,0.00120851,0.00117556,0.0013784,0.00136932,0.0015272,0.00142976
191,0.00141458,0.00155327,0.00144243,0.00119403,0.00119911,0.00122646,0.00139355,0.00152531,0.00140048,0.00147995
192,0.0014208,0.00349239,0.00220293,0.00127391,0.00116498,0.00119793,0.00139397,0.00134308,0.00139737,0.00136822
193,0.00142349,0.00141748,0.00146786,0.00118282,0.00114589,0.00122883,0.0014334,0.00141093,0.00146174,0.00137056
194,0.00141775,0.00144778,0.00142592,0.00116126,0.0011485,0.00114773,0.00138979,0.00137114,0.00143958,0.00136422
195,0.00133957,0.00148435,0.00144293,0.00120686,0.00115343,0.00118264,0.00141468,0.00136092,0.0013967,0.00137592
196,0.00138627,0.0019802,0.00295235,0.00165098,0.00152196,0.00173414,0.00216702,0.00192311,0.00202785,0.00190398
197,0.00191585,0.0021746,0.00214075,0.00194589,0.00182976,0.00179043,0.00214147,0.00224662,0.00324031,0.00305648
198,0.00314992,0.00223427,0.00170276,0.00135283,0.00158356,0.00160177,0.00192073,0.00166308,0.00157532,0.00144525
199,0.00162347,0.00151945,0.00163141,0.00146098,0.00124496,0.00135701,0.00258749,0.00154753,0.00340947,0.00388796
200,0.0037176,0.00511707,0.00280604,0.0041691,0.00434361,0.00447423,0.00421192,0.0056498,0.00394293,0.00367581
201,0.00377894,0.00517423,0.00398902,0.00327071,0.00305687,0.00308595,0.00610703,0.0050293,0.00471261,0.00347935
202,0.00323134,0.00323888,0.00303019,0.00274649,0.00412985,0.00319182,0.00465907,0.00414216,0.00426225,0.00343054
203,0.00224739,0.00217317,0.00447683,0.00313413,0.00210807,0.00251137,0.00301033,0.00290745,0.00322217,0.00323095
204,0.00301632,0.00452088,0.00454304,0.0048042,0.00404002,0.00379344,0.00516739,0.00469018,0.00323649,0.00365453
205,0.0052459,0.00500946,0.00526475,0.00400326,0.00391719,0.00335813,0.00531585,0.00326075,0.00300926,0.0032488
206,0.00315422,0.00506347,0.0049074,0.00424323,0.00369417,0.0032773,0.00349876,0.00302619,0.00291841,0.00262058
207,0.00270157,0.00459359,0.00477999,0.00418081,0.00345643,0.00443385,0.00452163,0.00433144,0.00331144,0.00539942
208,0.00373068,0.00304808,0.00302065,0.00257398,0.00300043,0.00405935,0.0031266,0.00310821,0.00546342,0.0049488
209,0.00457917,0.00510302,0.00495303,0.00406335,0.00391581,0.00281394,0.00361249,0.0036568,0.00378569,0.00382916
210,0.00362092,0.00520266,0.00514473,0.00475632,0.00311305,0.00470743,0.00441972,0.00425279,0.00399714,0.00483933
