idx,TLS_AES_128_GCM_SHA256,TLS_AES_256_GCM_SHA384,TLS_CHACHA20_POLY1305_SHA256,TLS_RSA_WITH_RC4_128_SHA,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_AES_256_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS_RSA_WITH_AES_128_GCM_SHA256,TLS_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_RC4_128_SHA,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256
83,0.005569244,0.00628775,0.004516717,0.004305585,0.003853667,0.004241024,0.003769895,0.003614053,0.003469356,0.003396364,0.003920487,0.003779117,0.003908441,0.003921656,0.002866911,0.002838521,0.004222858,0.002664358
84,0.003967915,0.003775797,0.002132043,0.003374061,0.003316136,0.00277597,0.002750085,0.00155344,0.002657739,0.001708938,0.003776189,0.002679847,0.002346352,0.004218308,0.003090608,0.002791976,0.002733044,0.002633987
85,0.002489895,0.002452479,0.002456482,0.00230977,0.00235002,0.00296008,0.003452614,0.003712904,0.003542955,0.002668309,0.002938037,0.002807672,0.00293076,0.004651093,0.004592044,0.004436116,0.00477226,0.00306356
86,0.002992576,0.002925353,0.004575887,0.002816182,0.003112911,0.002536821,0.002327491,0.002794252,0.002520823,0.004134625,0.00460048,0.004276056,0.003873375,0.003729724,0.003284451,0.003368209,0.003581762,0.004046431
87,0.002358299,0.003016311,0.004397881,0.002419543,0.004029728,0.003928161,0.003962439,0.003780864,0.003782621,0.003828433,0.002550169,0.002784974,0.00246056,0.004218294,0.002591562,0.002705201,0.002492167,0.002536646
88,0.00384006,0.002630059,0.002093791,0.00170298,0.001795091,0.001270806,0.001253836,0.001393326,0.00124612,0.001265452,0.001636206,0.001775903,0.001447582,0.001703387,0.001556937,0.001712299,0.002728103,0.003244633
89,0.003137726,0.001669139,0.003087448,0.001758897,0.002405499,0.001505978,0.002982925,0.001649899,0.003217746,0.003383832,0.002699228,0.003509238,0.003349192,0.001795149,0.002891224,0.001905604,0.002808038,0.001879621
90,0.004552873,0.002476887,0.002815925,0.003624828,0.003426545,0.004128983,0.003109187,0.00223268,0.002814347,0.003353755,0.004629407,0.004436827,0.002552659,0.003028399,0.002453746,0.003074426,0.002539434,0.003215127
91,0.00384538,0.004086627,0.002494325,0.00221658,0.002128066,0.002308265,0.002214107,0.002312465,0.002391409,0.00289807,0.003714468,0.004571723,0.003788395,0.003955317,0.00311295,0.003181563,0.002592652,0.002544147
92,0.003080208,0.002559349,0.002432115,0.002183909,0.00221886,0.002784996,0.002265357,0.002620489,0.002462121,0.003066357,0.002760333,0.003117195,0.00430777,0.004040962,0.003402277,0.002260405,0.002708785,0.004098348
